Sr_No,State_Name,_2018,_2019_,_2020,_2021,_2022,Absolute_Change_in_2022_over_2021,percent_change_in_2022_over_2021,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022
1,Andhra Pradesh,"24,475","21,992","19,509","21,556","21,249",-307,-1.4,7,8,7,7,9
2,Arunachal Pradesh,277,237,134,283,227,-56,-19.8,30,30,32,28,31
3,Assam,"8,248","8,350","6,595","7,411","7,023",-388,-5.2,16,16,16,16,16
4,Bihar,"9,600","10,007","8,639","9,553","10,801","1,248",13.1,15,15,15,15,14
5,Chhattisgarh,"13,864","13,899","11,656","12,375","13,279",904,7.3,11,11,11,11,12
6,Goa,"3,709","3,440","2,375","2,849","3,011",162,5.7,21,21,21,21,21
7,Gujarat,"18,769","17,046","13,398","15,186","15,751",565,3.7,10,10,10,10,10
8,Haryana,"11,238","10,944","9,431","9,933","10,429",496,5,14,14,14,14,15
9,Himachal Pradesh,,"3,110","2,873","2,239","2,404","2,597",193,22,22,22,22,22
10,Jharkhand,"5,394","5,217","4,405","4,728","5,175",447,9.5,20,20,19,19,20
11,Karnataka,"41,707","40,658","34,178","34,647","39,762","5,115",14.8,4,5,4,4,5
12,Kerala,"40,181","41,111","27,877","33,296","43,910","10,614",31.9,5,4,5,5,3
13,Madhya Pradesh,"51,397","50,669","45,266","48,877","54,432","5,555",11.4,2,2,2,2,2
14,Maharashtra,"35,717","32,925","24,971","29,477","33,383","3,906",13.3,6,6,6,6,6
15,Manipur,601,672,432,366,508,142,38.8,25,25,27,27,26
16,Meghalaya,399,482,214,245,246,1,0.4,28,27,28,29,29
17,Mizoram,53,62,53,69,133,64,92.8,35,35,34,35,35
18,Nagaland,430,358,500,746,489,-257,-34.5,27,28,25,25,27
19,Odisha,"11,262","11,064","9,817","10,983","11,663",680,6.2,13,13,13,13,13
20,Punjab,"6,428","6,348","5,203","5,871","6,138",267,4.5,18,17,17,17,17
21,Rajasthan,"21,743","23,480","19,114","20,951","23,614","2,663",12.7,9,7,9,9,7
22,Sikkim,180,162,138,155,211,56,36.1,32,32,31,32,32
23,Tamil Nadu,"67,279","62,685","49,844","55,682","64,105","8,423",15.1,1,1,1,1,1
24,Telangana,"22,230","21,570","19,172","21,315","21,619",304,1.4,8,9,8,8,8
25,Tripura,552,655,466,479,575,96,20,26,26,26,26,25
26,Uttarakhand,"1,468","1,352","1,041","1,405","1,674",269,19.1,24,24,23,23,23
27,Uttar Pradesh,"42,568","42,572","34,243","37,729","41,746","4,017",10.6,3,3,3,3,4
28,West Bengal,"12,705","12,658","10,863","11,937","13,686","1,749",14.7,12,12,12,12,11
29,A & N,254,230,141,115,141,26,22.6,31,31,30,34,34
30,Chandigarh,316,305,159,208,237,29,13.9,29,29,29,31,30
31,D & N Haveli,80,68,100*,140*,196*,56,40,33,34,33,33,33
32,Daman & Diu,76,69,34,33,NA,NA,37,,,,,
33,Delhi,"6,515","5,610","4,178","4,720","5,652",932,19.7,17,19,20,20,19
34,J & K,"5,978","5,796","4,860","5,452","6,092",640,11.7,19,18,18,18,18
35,Ladakh,NA,NA,NA,236,374,138,58.5,NA,NA,NA,30,28
36,Lakshadweep,3,1,1,4,3,-1,-25,36,36,35,36,36
37,Puducherry,"1,597","1,392",969,"1,049","1,181",132,12.6,23,23,24,24,24
